N°Obs;1. Copiez ci-dessous l'extrait que vous trouvez problématique;"2. En option, si vous le souhaitez : quel est selon vous le type de problème?  (Vous pouvez cocher plusieurs réponses. Si vous ne savez pas que répondre, cochez ""autres"").";3. Autres :;4. En option, si vous le souhaitez : merci de localiser ce qui vous parait problématique dans l'extrait et d'indiquer pourquoi.;5. Pour finir, merci de préciser le niveau (ex. Licence1, Master 2 etc.), le contexte (ex. IUT Info-com, Master MEEF-PE), et le genre (ex. dissertation, mémoire, devoir d'analyse type CRPE etc.). Si vos étudiants n'ont pas pour langue maternelle le français, merci de l'indiquer aussi.;6. Clé;7. Date de saisie;8. Date de dernière modification;9. Date de dernier enregistrement;10. Temps de saisie;11. Langue;12. Origine;13. Appareil utilisé pour la saisie;14. Progression
14;pour différencier les différentes formes ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « pour distinguer les différentes formes »);;V9GN-93LK;28/12/2017 17:23:59;;28/12/2017 17:26:41;162,3443819;FR;Direct;PC;Terminé
15;la postulation des consonnes latentes ne donne pas toutes les données nécessaires ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « l’hypothèse des consonnes latentes ne rend pas compte de toutes les données »);"Licence 1
SDL
Résumé de textes linguistiques";3MQE-UBU9;28/12/2017 17:26:48;;28/12/2017 17:28:16;87,7350625;FR;Direct;PC;Terminé
16;ce qui rend l’analyse des deux analyses impossible ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « ce qui rend la comparaison des deux analyses impossible »);"Licence 1	
SDL
Résumé de textes linguistiques
";RNX3-DDR3;28/12/2017 17:28:19;;28/12/2017 17:28:55;36,0178377;FR;Direct;PC;Terminé
17;L’on ne peut pour autant affirmer l’économie des consonnes latentes ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « L’on ne peut pour autant défendre le caractère économique de la notion de consonne latente »);"Licence 1	
SDL
Résumé de textes linguistiques
";NHKE-WQQ2;28/12/2017 17:29:02;;28/12/2017 17:29:28;26,1489284;FR;Direct;PC;Terminé
18;Ils proposent une représentation que chaque adjectif est associé à deux thèmes ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « Ils proposent une représentation selon laquelle chaque adjectif est associé à deux thèmes »);"Licence 1	
SDL
Résumé de textes linguistiques
";X8XG-N259;28/12/2017 17:29:30;;28/12/2017 17:30:12;41,7741463;FR;Direct;PC;Terminé
19;L’argument de parcimonie que les consonnes latentes permettent d’éviter plusieurs entrées lexicales indépendantes… ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;(il aurait fallu écrire : « L’argument de parcimonie selon lequel la notion de consonne latente permet d’éviter plusieurs entrées lexicales indépendantes… »);"Licence 1	
SDL
Résumé de textes linguistiques
";KMAH-ZT4A;28/12/2017 17:30:15;;28/12/2017 17:30:42;26,6444034;FR;Direct;PC;Terminé
20;La période du latin classique englobe du IIe siècle avant JC jusqu'au IIe siècle après.;Syntaxe / Construction des phrases;;Construction du verbe englober (englober une période allant...).;L2 Lettres examen écrit.;4W2G-VBGU;05/01/2018 10:44:04;;05/01/2018 10:46:07;122,7837319;FR;Direct;PC;Terminé
21;C'est en postulant d'un état stable de la langue (synchronie) qu'on peut analyser son fonctionnement et son système.;Syntaxe / Construction des phrases;;Construction du verbe postuler (en postulant un état stable).;L2 Lettres examen écrit.;H3SF-KCRJ;05/01/2018 10:46:10;;05/01/2018 10:47:38;87,6284062;FR;Direct;PC;Terminé
22;Les Latins ne disposant pas de leur propre alphabet vont emprunter celui utilisé par les Étrusques. ;Autres;emploi d'un temps verbal;Mauvais usage du futur simple (vont emprunter) pour raconter des faits passés (est attendu soit un présent de narration soit un temps du passé).;L2 Lettres examen écrit.;NQ7N-6ZX7;05/01/2018 10:54:26;;05/01/2018 10:57:19;173,1768468;FR;Direct;PC;Terminé
23;Nous nous intéresserons ici particulièrement à l'action langagière. C'est-à-dire à la langue seule. A celle utilisée pour parler et écrire, avec laquelle ils vivent dans l'action.;"Ponctuation;Cohérence / cohésion / argumentation";;"Deux points problématiques : (1) ponctuation : les points finaux séparent les COI de leur verbe (nous nous intéresserons ... à la langue seule ... à celle utilisée) => point final à remplacer par une virgule ; (2) cohérence : le référent de l'anaphorique ""ils"" n'est pas donné dans le contexte proche.";L2 Lettres examen écrit.;DMNW-QDVH;05/01/2018 14:11:27;;05/01/2018 14:16:29;301,8354123;FR;Direct;PC;Terminé
24;Lequel des deux est en proie à perdre sa culture ?;"Lexique;Syntaxe / Construction des phrases;Discours rapporté / Citation/ Sources";;"Construction sémantiquement problématique ""être en proie à"" + ""perdre sa culture"" => on est en proie à des sentiments/émotions, pas à des faits.";L2 Lettres examen écrit.;MJBH-TVEZ;05/01/2018 14:34:49;;05/01/2018 14:37:05;135,302928;FR;Direct;PC;Terminé
25;Le latin prend la dominance jusqu'à l'éviction de l'étrusque.;"Lexique;Cohérence / cohésion / argumentation";;"lexique : confusion dominance/domination ; prendre la dominance n'est pas une collocation en usage ; à remplacer par prendre le dessus, exercer sa domination.
";L2 Lettres examen écrit.;88A3-SCZ2;05/01/2018 14:41:04;;05/01/2018 14:43:38;154,1996858;FR;Direct;PC;Terminé
26;Il s'agit au niveau de l'époque du texte de la période où l'Académie française fut créée ou du moins de quelques années après sa création (création en 1635). Historiquement il s'agissait donc d'une période de bouleversement car avant cela le latin était utilisé. Il y eut donc comme à notre habitude, plusieurs querelles car personne n'est jamais d'accord sinon ce serait trop facile. Dans ce texte, il parle de l'Académie française, mais plus particulièrement du fait qu'il existe en france deux camps, l'un puriste l'autre non. ;"Ponctuation;Lexique;Cohérence / cohésion / argumentation";;"Cet extrait est l'introduction d'une réponse : emploi systématique de ""donc"" (manière très orale de scander le raisonnement qui ne passe pas à l'écrit)
familiarités avec des essais de clins d'oeil au prof (""notre habitude"", ""ce serait trop facile"")
cohésion du discours : ""il parle""… ";"Licence 3
cours d'histoire de la langue française
question d'analyse d'un texte";FT8K-8A3N;07/01/2018 22:37:08;;07/01/2018 22:42:19;311,0091951;FR;Direct;PC;Terminé
27;"Il s'agit sûrement des recommandations de l'académie, chose que l'on peut encore se rendre compte à l'heure actuelle où l'Académie recommande de parler le français d'une façons plutôt qu'une autre mais si les autres façons de parler sont ""tolérées""";Syntaxe / Construction des phrases;;"""se rendre compte"" + COD
""même si"" confondu avec ""mais si""";"Science du langage, licence 3
cours d'histoire de la langue
question d'analyse d'un texte";NA64-KA4Y;07/01/2018 22:45:55;;07/01/2018 22:48:36;160,4371521;FR;Direct;PC;Terminé
28;"Un seul de ces groupes de réflexion fût écouté, et eu la main mise sur les décisions liées à ce qui devint l'orthographe. […] nous rappèleront d'abord plis précisément le contexte, puis nous nous intéresseront aux ""deux extrémités si manifestement vicieuses"" que Bossuet expose. ";Autres;conjugaison;"ignorance du passé simple
problèmes d'accord";"Lettres modernes, licence 3
cours d'histoire de la langue française
question d'analyse de texte";VRKD-X5W7;07/01/2018 22:49:11;;07/01/2018 22:52:03;172,1555276;FR;Direct;PC;Terminé
29;Ce n'est qu'après la révolution culturelle que le gouvernement chinois arrivera à imposé son contrôle. Ainsi, en 1971, ils mettent en place la règle de deux enfants dans les ménages urbains et trois dans les campagnes.;"Orthographe;Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"orthographe grammaticale : à imposé (pour à imposer) ; cohésion : reprise de ""gouvernement"" par ""ils"" (anaphore erronée) ; construction/syntaxe : la préposition ""de"" n'est pas répétée devant ""trois"" alors qu'elle devrait l'être.
";L1 Histoire examen écrit (résumé de texte).;ELKJ-UC2M;08/01/2018 11:02:47;;08/01/2018 11:06:44;237,6406915;FR;Direct;PC;Terminé
30;Dans ce livre, l'auteur explique ce qu'est la néologie : un mot nouveau inventé, comment il est né : de la Bible et comment il se forme morphologiquement.;Ponctuation;;comment il est né : de la Bible => deux points à supprimer.;L2 Lettres examen écrit;YLET-XD9E;09/01/2018 13:47:19;;09/01/2018 13:49:41;142,1885317;FR;Direct;PC;Terminé
31;La néologie est la science ou l'art de créer des mots. Mais ceci n'est pas si facile, en effet ceux-ci doivent ressembler à des mots et avoir un sens.;Cohérence / cohésion / argumentation;;"problème avec l'anaphorique ""ceux-ci"" => si on remplace l’anaphorique, cela donne ""les mots doivent ressembler à des mots"". => tournure elliptique qui n'a pas le sens souhaité (le sens souhaité est : les mots nouvellement créés doivent respecter les règles de construction des mots de la langue en question).";L2 Lettres examen écrit;THXB-JQVM;10/01/2018 10:28:20;;10/01/2018 10:32:53;273,0378587;FR;Direct;PC;Terminé
32;Et la néologie peut être classée en plusieurs parties et même sous-parties pour savoir comme celle-ci se forme ou se compose.;Cohérence / cohésion / argumentation;;"Pb de cohérence (le texte a un sens obscur) => la néologie ne se classe pas ; en revanche, les néologismes oui. Confusion néologie/néologisme. même remarque pour l'anaphorique ""celle-ci"" renvoie à néologie ; or la néologie ne se forme pas ni ne se compose.
";L2 Lettres examen écrit.;8WTB-32UR;10/01/2018 14:23:31;;10/01/2018 14:27:00;208,2451133;FR;Direct;PC;Terminé
33;La langue française a un lexique tellement varié que peu de personnes ont plus de 6000 mots dans leur répertoire. Ils auront ainsi tendance à associer des fautes de français comme des mots qu'ils ne connaissent pas.;"Lexique;Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"Dans la première phrase, le causalité établie entre la grande variété du lexique et le fait que peu de personnes ait plus de 6000 mots à leur répertoire n'est pas claire.
La seconde phrase pose un pb de construction du verbe associer (*associer X comme Y au lieu de associer X à/avec Y) et un problème de lexique : ce n'est pas le verbe associer qui est ici attendu mais plutôt assimiler : ""ils auront tendance à assimiler les mots qu'ils ne connaissent pas à des fautes de français.""";L2 lettres examen écrit;ST8E-K39S;10/01/2018 15:24:28;;10/01/2018 15:29:00;271,2535646;FR;Direct;PC;Terminé
34;"Enfin, par composition, nombreux néologismes apparaissent dans la langue. Ainsi, ""lave-linge"", né de la communion d'un verbe = laver et d'un nom ""linge"".";"Lexique;Syntaxe / Construction des phrases";;"Syntaxe : nombreux néologisme => Déterminant manquant (de).
Lexique : emploi impropre de communion (union suffit, association est mieux).
";L2 Lettres examen écrit.;F8SV-SDA5;10/01/2018 15:40:06;;10/01/2018 15:42:34;148,1174418;FR;Direct;PC;Terminé
35;Le verbe en français contrent quelques particularités.;"Orthographe;Lexique";;"contrent : 1) orthographe grammaticale (accord au pluriel avec un sujet singulier) ; 2) confusion lexicale contrer/compter : le verbe en français compte quelques particularités.";L2 Lettres examen écrit;LMWT-J7CV;11/01/2018 09:06:47;;11/01/2018 09:08:38;110,7539227;FR;Direct;PC;Terminé
36;Le verbe est une catégorie grammaticale qui s'exprime à travers divers modes, mais aussi à travers plusieurs modalités, la modalité étant en quelque sorte l'opinion de celui qui exprime l’énoncé.;"Lexique;Syntaxe / Construction des phrases";;"Mauvais usage du verbe ""exprimer"" : 1) une catégorie grammaticale ne s’exprime pas à travers quelque chose (proposition de reformulation : le verbe est une catégorie grammaticale qui peut se réaliser sous divers modes et modalités dans un énoncé) ; 2) on n’exprime pas un énoncé, on parle (tout simplement) ou on formule un énoncé.";L2 Lettres examen écrit;M9LB-A6LH;11/01/2018 11:29:57;;11/01/2018 11:35:09;312,4782392;FR;Direct;PC;Terminé
37;"""les devoirs à la maison sont interdit à l'école élémentaire mais les enseignant en donne quand même pour pouvoir finir le programme ou car les parent pense qu'un bon professeur donne plein de devoirs.""
 ""le courant cognitive""
 ""l'élève travail pour lui"" 
 ""l'apprentissage constructivisme"" 
""la méthode interrogatif""
"" les chances de réussitent"" 
""le soutient scolaire""
 ""une structure qui accueil""
 "" une autre langue maternel""";"Orthographe;Syntaxe / Construction des phrases";;fautes d'accords principalement;"L2 prepro pro Métiers de l'enseignement
Devoirs écrits sur table
4 étudiantes differentes";UNLL-WAEK;11/01/2018 13:39:28;;11/01/2018 13:43:17;228,2274502;FR;Direct;PC;Terminé
38;Le verbe français peut se classer sous différents critères : la personne, le nombre, le temps, le mode, l'aspect et la voix.;Syntaxe / Construction des phrases;;mauvais emploi de préposition sous : se classer selon/en suivant/grâce à différents critères;L2 Lettres examen écrit;33Q5-XSDZ;11/01/2018 14:03:42;;11/01/2018 14:05:48;126,0549642;FR;Direct;PC;Terminé
39;Le nombre pour un verbe, à l'oral il est peut reconnaissable seul, c'est son contexte dans la phrase qui lui donne la marque du nombre.;Cohérence / cohésion / argumentation;;La phrase est incompréhensible.;L2 Lettres examen écrit.;S2LT-QL9S;11/01/2018 14:09:31;;11/01/2018 14:10:31;60,6029379;FR;Direct;PC;Terminé
40;"Pour commencer, nous avons démontré le critère de temps avec ""voulez"" qui est au présent, un temps grammatical qui place le verbe dans une temporalité du maintenant.";Lexique;;on ne démontre pas un critère, on l'utilise pour proposer un classement.;L2 Lettres examen écrit;WUU4-GKAM;11/01/2018 15:08:09;;11/01/2018 15:09:50;100,7004587;FR;Direct;PC;Terminé
41;Le T0 est le moment où l'on parle et à partir de là on peut situer le verbe dans le temps, c'est-à-dire si elle est passée ou avenir.;Syntaxe / Construction des phrases;;"Pb avec l'anaphorique ""elle"" qui ne reprend aucun autre mot précédent (probable erreur sur l'emploi du mot ""verbe"" pour dire ""action"" : on peut situer l'action dans le temps serait la formule que le candidat aurait voulu écrire).";L2 Lettres examen écrit;8YT3-QP9W;11/01/2018 15:23:06;;11/01/2018 15:26:40;213,4917398;FR;Direct;PC;Terminé
42;La scène où Abraham reçoit trois anges est importante dans la tradition chrétienne car elle est la première référence à la Trinité et aussi car elle montre que celui qui reçoit les étrangers est récompensé.;Syntaxe / Construction des phrases;;"usage de ""car"", avec la série impossible ""et aussi car"". Il faut dire à la place: parce que (subordonnant, alors que ""car"" est coordonnant).";L3 questions de connaissances;BVMT-Y3UD;11/01/2018 16:25:01;;11/01/2018 16:28:35;214,4514924;FR;Direct;PC;Terminé
43;Trois hommes viennent a Abraham sous le chêne de Mambré. Ils leur demande à Abraham et à Sara à manger car ils son affamés.;"Orthographe;Syntaxe / Construction des phrases";;"orthographe + pléonasme ""leur demande à Abraham et à Sara"".";L3 OFC  toutes filières littéraires, questions sur connaissances et lectures;CREE-3VCZ;11/01/2018 16:30:23;;11/01/2018 16:33:27;183,7160831;FR;Direct;PC;Terminé
44;cette scène montre un Dieu récompenseur envers Abraham.;Lexique;;"""récompenseur"" n'existe pas.";L3 OFC toutes filières littéraires, questions sur lectures;UY5W-AYWD;11/01/2018 16:34:50;;11/01/2018 16:35:39;49,042658;FR;Direct;PC;Terminé
45;La chrétienneté y a vu là une première allusion à la Trinité.;"Lexique;Syntaxe / Construction des phrases";;"chrétienneté
pléonasme: il faut choisir entre ""elle y a vu"" et ""elle a vu là"". L'usage de ""y"" est très souvent fautif chez les étudiants.";;KE8P-PRKP;11/01/2018 16:35:55;;11/01/2018 16:37:22;87,5771964;FR;Direct;PC;Terminé
46;Abraham est déjà père d'Ismaël (qu'il a eu avec la servante de Sara) et à qui Dieu a promis aussi une descendance nombreuse.;"Ponctuation;Syntaxe / Construction des phrases";;"Probablement l'antécédent de ""et à qui"" est Ismaël, et alors la faute consiste à ne pas avoir tenu compte d ela parenthèse ouverte et refermée. Mais l'antécédent pourrait être Abraham (le sens convient aux deux) et alors la faute résiderait dans la coordination ""et"".
";L3 OFC toutes filières littéraires, questions sur lectures.;4PHF-J58L;11/01/2018 16:39:34;;11/01/2018 17:05:40;1566,7834345;FR;Direct;PC;Terminé
47;Abraham est important puisque de lui découle le peuple de Dieu.;Lexique;;"""découle"" pour ""descend"".";L3 OFC toutes filières littéraires, questions sur lectures.;8WVW-A3G4;11/01/2018 17:06:03;;11/01/2018 17:06:34;31,015266;FR;Direct;PC;Terminé
48;Abraham est un personnage auquel Dieu s'adresse et passe des accords.;Syntaxe / Construction des phrases;;"Il faut écrire ""et AVEC QUI IL passe des accords.""";L3 OFC toutes filières littéraires, questions sur lectures.;P99E-J885;11/01/2018 17:06:41;;11/01/2018 17:08:01;79,8485582;FR;Direct;PC;Terminé
49;Abraham reçoit la visite de trois hommes qui on découvre sont trois anges.;Syntaxe / Construction des phrases;;"Mauvaise gestion du relatif complexe. Il faut dire: 
 trois hommes qui, on le découvre, sont trois anges. OU BIEN
trois hommes qu'on découvre être trois anges. OU BIEN
trois hommes dont on découvre qu'ils sont trois anges. ";L3 OFC toutes filières littéraires, questions sur lectures;VUXD-5YQU;11/01/2018 17:18:14;;11/01/2018 17:20:36;142,2073253;FR;Direct;PC;Terminé
50;"Les trois anges prennent hospitalité chez Abraham et de sa femme Sarah. 
Abraham solicite [sic] sa femme pour leur préparer des galettes de farine et du veau. Ceci deviendront les traditions chrétienne [sic] de l'hospitalité.";"Lexique;Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"​- Lexique: on ne dit pas ""prendre hospitalité"" (mais on dit prendre place, etc.).
- anacoluthe ""CHEZ A. et DE sa femme""
- ""Ceci deviendront les traditions"": problème avec le sujet neutre quand l'attribut du sujet est pluriel.";L3 OFC toutes filières littéraires, questions sur lectures;HWK8-5VQL;11/01/2018 17:21:47;;11/01/2018 17:26:18;271,4758291;FR;Direct;PC;Terminé
51;"1) Pour Marie Balmary une famille trop harmonieuse et sans conflits aucun est quelque chose d'étouffant et toxique, et qu'une libération de l'enfant doit s'effectuer dans le conflit.
2) Dans l'épisode de Babel les humains sont punis en les dispersant.";Syntaxe / Construction des phrases;;"1) ""que"" intempestif comme marque de discours rapporté
2) le sujet du participe présent apposé n'est pas le sujet de la phrase comme il devrait l'être (ici la faute est d'autant plus dissimulée que la phrase est au passif).";L3 OFC toutes filières littéraires, questions sur textes lus en classe;FRYG-APQ5;11/01/2018 17:39:03;;11/01/2018 17:43:07;243,8034849;FR;Direct;PC;Terminé
52;Les humains sont dispersés par-delà le monde.;Cohérence / cohésion / argumentation;;Absurde! On voulait dire: Les humains sont dispersés de par le monde.;;MRY4-EPMX;11/01/2018 17:43:29;;11/01/2018 17:44:20;51,7215279;FR;Direct;PC;Terminé
